task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
60	c4/b7accf	-	workflow_summary	COMPLETED	-	2023-02-15 10:48:14.266	14ms	4ms	-	-	-	-	-
1	61/aeb1a9	72057	lock (RNAseq-project-001)	COMPLETED	0	2023-02-15 10:48:13.878	5.1s	21ms	120.0%	0	0	49.4 KB	222 B
58	14/736b87	72092	version_collection	COMPLETED	0	2023-02-15 10:48:14.298	9.4s	4.3s	85.3%	57 MB	397.5 MB	26.5 MB	27 KB
84	26/40d68f	6582660	fastqc (Sample_138)	COMPLETED	0	2023-02-15 10:48:24.546	22m 4s	21m 53s	96.4%	348.5 MB	3.5 GB	6.8 GB	2.6 MB
79	ff/d50c6b	6582621	fastqc (Sample_135)	COMPLETED	0	2023-02-15 10:48:19.927	22m 59s	22m 5s	99.5%	362.4 MB	3.5 GB	7.8 GB	2.6 MB
47	3c/a7922b	6582634	fastqc (Sample_123)	COMPLETED	0	2023-02-15 10:48:21.501	22m 57s	22m 16s	99.5%	394.8 MB	3.5 GB	6.9 GB	2.6 MB
78	28/40e12e	6582627	fastqc (Sample_134)	COMPLETED	0	2023-02-15 10:48:20.747	25m 8s	24m 45s	99.7%	367.3 MB	3.5 GB	8.7 GB	2.6 MB
53	c6/b70716	6582647	fastqc (Sample_128)	COMPLETED	0	2023-02-15 10:48:23.005	25m 6s	24m 20s	97.8%	452.4 MB	3.5 GB	7.6 GB	2.6 MB
46	2a/3b9ecf	6582642	fastqc (Sample_122)	COMPLETED	0	2023-02-15 10:48:22.469	26m 11s	25m 56s	97.8%	373.4 MB	3.5 GB	7.9 GB	2.6 MB
69	4f/564864	6582631	fastqc (Sample_130)	COMPLETED	0	2023-02-15 10:48:21.117	27m 12s	26m 59s	97.7%	346.2 MB	3.5 GB	8.6 GB	2.6 MB
52	f2/128dde	6582618	fastqc (Sample_127)	COMPLETED	0	2023-02-15 10:48:19.558	28m 9s	27m 21s	98.8%	373.7 MB	3.5 GB	7.5 GB	2.6 MB
13	2b/0cc8af	6582575	fastqc (Sample_110)	COMPLETED	0	2023-02-15 10:48:14.659	28m 54s	28m 18s	99.1%	366.9 MB	3.5 GB	9 GB	2.6 MB
72	3b/a75eda	6582656	fastqc (Sample_132)	COMPLETED	0	2023-02-15 10:48:24.096	29m 5s	28m 26s	98.6%	363 MB	3.5 GB	9.2 GB	2.6 MB
34	fb/1d8191	6582606	fastqc (Sample_115)	COMPLETED	0	2023-02-15 10:48:18.190	29m 15s	29m 5s	99.5%	413 MB	3.5 GB	9.7 GB	2.6 MB
50	d4/4edacb	6582639	fastqc (Sample_126)	COMPLETED	0	2023-02-15 10:48:22.145	29m 16s	28m 38s	99.1%	361.4 MB	3.5 GB	9 GB	2.6 MB
8	9f/2b6e43	6582585	fastqc (Sample_105)	COMPLETED	0	2023-02-15 10:48:15.631	30m 3s	29m 12s	98.4%	370.7 MB	3.5 GB	9.2 GB	2.6 MB
16	10/ab2a3b	6582588	fastqc (Sample_113)	COMPLETED	0	2023-02-15 10:48:15.956	30m 3s	29m 28s	98.2%	421 MB	3.5 GB	9.1 GB	2.6 MB
11	59/e7ce6c	6582589	fastqc (Sample_109)	COMPLETED	0	2023-02-15 10:48:16.060	30m 3s	28m 59s	101.2%	370 MB	3.5 GB	8.8 GB	2.6 MB
14	5d/6a1cd7	6582586	fastqc (Sample_111)	COMPLETED	0	2023-02-15 10:48:15.732	30m 28s	30m 3s	98.7%	361.8 MB	3.5 GB	9.4 GB	2.6 MB
73	9c/491483	6582657	fastqc (Sample_133)	COMPLETED	0	2023-02-15 10:48:24.218	30m 19s	29m 47s	100.3%	393.8 MB	3.5 GB	10 GB	2.6 MB
98	a8/3c94a8	6582670	fastqc (Sample_16)	COMPLETED	0	2023-02-15 10:48:25.777	30m 18s	29m 55s	97.7%	368.9 MB	3.5 GB	9.4 GB	2.6 MB
97	db/9df139	6582671	fastqc (Sample_15)	COMPLETED	0	2023-02-15 10:48:25.904	31m 23s	30m 58s	98.1%	356.5 MB	3.5 GB	9.9 GB	2.6 MB
15	4e/704864	6582581	fastqc (Sample_112)	COMPLETED	0	2023-02-15 10:48:15.308	32m 3s	31m 13s	98.9%	371 MB	3.5 GB	9.8 GB	2.6 MB
45	18/3a057f	6582635	fastqc (Sample_121)	COMPLETED	0	2023-02-15 10:48:21.618	33m 7s	32m 14s	98.3%	364.5 MB	3.5 GB	10 GB	2.6 MB
112	35/6dc03f	6582667	fastqc (Sample_24)	COMPLETED	0	2023-02-15 10:48:25.451	33m 23s	32m 59s	99.2%	370.7 MB	3.5 GB	10.5 GB	2.6 MB
10	a6/d1ac63	6582593	fastqc (Sample_108)	COMPLETED	0	2023-02-15 10:48:16.598	34m 12s	33m 21s	98.8%	367.9 MB	3.5 GB	11 GB	2.6 MB
55	c3/416ec2	6582645	fastqc (Sample_12)	COMPLETED	0	2023-02-15 10:48:22.795	34m 6s	33m 23s	99.4%	424.8 MB	3.5 GB	10.6 GB	2.6 MB
81	15/3a8603	6582649	fastqc (Sample_136)	COMPLETED	0	2023-02-15 10:48:23.270	34m 6s	33m 23s	98.8%	387.4 MB	3.5 GB	10.7 GB	2.6 MB
