task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	57/80a8f7	-	report:workflowSummary	COMPLETED	-	2023-03-14 12:27:23.139	30ms	5ms	-	-	-	-	-
4	31/57a0c5	20329	report:versionCollection	COMPLETED	0	2023-03-14 12:27:23.106	23.2s	11s	46.6%	57 MB	397.5 MB	26.5 MB	27 KB
2	1b/913c22	7662566	report:documentation	COMPLETED	0	2023-03-14 12:27:25.773	30.8s	2.8s	174.0%	63.5 MB	1.6 GB	13.4 MB	3.2 MB
126	1e/dd6ccc	7662636	preprocess:FastQC (7_CTRL)	COMPLETED	0	2023-03-14 12:27:34.023	9m 58s	9m 44s	100.2%	485.8 MB	3.5 GB	3 GB	2.6 MB
87	2d/0da495	7662598	preprocess:FastQC (512_CTRL)	COMPLETED	0	2023-03-14 12:27:29.612	12m 57s	11m 54s	98.2%	374.2 MB	3.5 GB	4.1 GB	2.6 MB
112	74/b848a0	7662622	preprocess:FastQC (570_CTRL)	COMPLETED	0	2023-03-14 12:27:32.389	13m 19s	12m 45s	98.0%	357.3 MB	3.5 GB	4 GB	2.6 MB
65	ea/90ddec	7662611	preprocess:FastQC (1648_CTRL)	COMPLETED	0	2023-03-14 12:27:31.109	13m 50s	12m 50s	98.2%	391.1 MB	3.5 GB	4.4 GB	2.6 MB
102	90/f38f98	7662612	preprocess:FastQC (531_CTRL)	COMPLETED	0	2023-03-14 12:27:31.219	13m 50s	13m 27s	98.3%	369.6 MB	3.5 GB	4.6 GB	2.6 MB
84	e4/4ff017	7662629	preprocess:FastQC (4969_TREAT)	COMPLETED	0	2023-03-14 12:27:33.220	14m 3s	13m 30s	98.5%	422.1 MB	3.5 GB	4.2 GB	2.6 MB
81	01/9bc8d5	7662592	preprocess:FastQC (4958_TREAT)	COMPLETED	0	2023-03-14 12:27:28.880	14m 58s	14m 4s	99.0%	389.7 MB	3.5 GB	4.6 GB	2.6 MB
73	2c/06d948	7662620	preprocess:FastQC (367_CTRL)	COMPLETED	0	2023-03-14 12:27:32.120	14m 54s	14m 12s	98.6%	422.2 MB	3.5 GB	4.5 GB	2.6 MB
