task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	87/0a5dfb	-	report:workflowSummary	COMPLETED	-	2024-03-08 10:47:33.719	68ms	5ms	-	-	-	-	-
2	8d/2b80cc	102193	report:versionCollection	COMPLETED	0	2024-03-08 10:47:33.705	29.8s	13.3s	38.0%	57.2 MB	397.5 MB	26.5 MB	27 KB
4	91/3bc619	7916538	report:documentation	COMPLETED	0	2024-03-08 10:47:35.530	32.1s	4.6s	121.5%	59.3 MB	1.6 GB	13.4 MB	3.2 MB
9	fd/67ff68	7916530	preprocess:FastQC (SAMP_1_rep2)	COMPLETED	0	2024-03-08 10:47:34.278	27m 33s	27m 23s	100.2%	401.2 MB	3.5 GB	11.6 GB	2.1 MB
12	d0/4701e7	7916528	preprocess:FastQC (SAMP_1_rep3)	COMPLETED	0	2024-03-08 10:47:33.997	29m 54s	29m 43s	100.3%	395.3 MB	3.5 GB	12.4 GB	2.1 MB
13	79/b8b591	7916534	preprocess:FastQC (SAMP_2_rep1)	COMPLETED	0	2024-03-08 10:47:34.930	35m 23s	35m 18s	100.2%	387.9 MB	3.5 GB	14.7 GB	2.1 MB
14	2a/fffc16	7916535	preprocess:FastQC (SAMP_2_rep2)	COMPLETED	0	2024-03-08 10:47:35.111	36m 13s	35m 44s	100.1%	372.7 MB	3.5 GB	14.1 GB	2.1 MB
5	16/310ac2	7916536	preprocess:FastQC (SAMP_1_rep1)	COMPLETED	0	2024-03-08 10:47:35.245	39m 27s	39m 2s	100.1%	358.7 MB	3.5 GB	15.6 GB	2.1 MB
16	6d/2c77cc	7916537	preprocess:FastQC (SAMP_2_rep3)	COMPLETED	0	2024-03-08 10:47:35.410	44m 32s	44m 9s	100.2%	415.7 MB	3.5 GB	18 GB	2.1 MB
7	be/b2a3f7	7916533	preprocess:TrimGalore (SAMP_1_rep2)	COMPLETED	0	2024-03-08 10:47:34.790	49m 3s	48m 31s	430.1%	4.1 GB	5.7 GB	479.4 GB	467.7 GB
